"","Food_Category","Calories","Calories_from_Fat","Total_Fat.g","Saturated_Fat.g","Trans_Fat.g","Cholesterol.mg","Sodium.mg","Total_Carbs.g","Fiber.g","Sugars.g","Protein.g","Vitamin_A.gda","Vitamin_C.gda","Calcium.gda","Iron.gda","Fast_Food"
"1","Beef & Pork",494,225,25,10,1,87,1021,40,3,9,27,7,7,23,23,"McDonalds"
"2","Chicken & Fish",464,182,20,5,0,62,1112,45,3,8,25,20,11,16,16,"McDonalds"
"3","Desserts",467,127,14,8,1,43,166,76,1,64,9,15,13,28,4,"McDonalds"
"4","Salads",234,93,10,3,0,44,506,19,4,6,17,132,28,13,9,"McDonalds"
"5","Snacks & Sides",550,293,33,5,0,59,875,44,3,0,21,0,21,2,7,"McDonalds"
"6","Beverages",219,43,5,3,0,17,112,38,1,34,7,8,6,22,2,"McDonalds"
