"","Food_Category","Serving_Size.g","Calories","Protein.g","Total_Fat.g","Total_Carbs.g","Sodium.mg","Calories_from_Fat","Saturated_Fat.g","Trans_Fat.g","Cholesterol.mg","Fiber.g","Sugars.g","Weight_Watchers","Fast_Food"
"1","Beef & Pork",211,415,18,19,43,1013,171,7,0,49,6,4,11,"Taco Bell"
"2","Chicken & Fish",269,458,22,18,52,1266,159,5,0,45,6,4,12,"Taco Bell"
"3","Desserts",65,266,2,13,35,214,116,3,0,9,2,16,7,"Taco Bell"
"4","Salads",424,626,25,29,65,1411,265,7,0,52,10,6,17,"Taco Bell"
"5","Snacks & Sides",163,391,13,20,40,748,178,5,0,27,5,4,11,"Taco Bell"
