"","Food_Category","Calories","Proteins.g","Total_Fat.g","Total_Carbs.g","Sodium.mg","Calories_From_Fat","Saturated_Fat.g","Trans_Fat.g","Cholesterol.mg","Fiber.g","Sugars.g","Weight_Watchers","Fast_Food"
"1","Beef & Pork",554,30,31,66,918,279,12,1,88,2,9,120,"Burger King"
"2","Chicken & Fish",472,21,24,42,1179,214,5,0,49,3,6,141,"Burger King"
"3","Desserts",412,7,14,65,348,130,8,0,30,1,47,57,"Burger King"
"4","Salads",560,29,36,31,1343,321,8,0,81,4,14,157,"Burger King"
"5","Snacks & Sides",223,5,11,26,460,100,3,0,12,2,1,57,"Burger King"
