,Item Name,Serving Size (G),Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
47,Caramel Apple Empanada,85,310,3,15.0,39,310,140,2.5,0.0,0,2,13,8,Desserts
48,Cheesy Fiesta Potatoes,126,280,4,15.0,31,580,140,2.5,0.0,10,3,2,8,Snacks & Sides
49,Chips and Corn Salsa,106,280,4,12.0,38,230,110,1.0,0.0,0,6,5,8,Snacks & Sides
50,Chips and Guacamole,106,320,4,20.0,32,450,180,2.5,0.0,0,6,1,9,Snacks & Sides
51,Chips and Pico De Gallo,106,230,3,11.0,30,260,100,1.0,0.0,0,3,2,6,Snacks & Sides
52,Churro,59,190,2,8.0,28,230,80,1.0,0.0,15,1,5,5,Desserts
53,Cinnamon Twists,35,170,1,7.0,26,200,60,0.0,0.0,0,1,10,5,Desserts
54,Pintos n Cheese,122,190,11,7.0,21,670,60,3.0,0.0,10,6,1,5,Snacks & Sides
55,Premium Latin Rice,74,100,2,2.5,18,230,25,0.0,0.0,0,0,0,3,Snacks & Sides
56,Beefy Nacho Griller,156,420,12,19.0,49,890,170,4.5,0.0,20,5,4,11,Beef & Pork
57,Cantina Bowl – Chicken,415,530,26,21.0,59,1450,190,3.5,0.0,60,9,4,14,Salads
58,Cantina Bowl – Steak,415,550,26,23.0,60,1390,200,4.0,0.0,50,9,4,15,Salads
59,Cantina Bowl – Veggie,393,510,14,20.0,69,1240,180,3.0,0.0,10,14,4,14,Salads
60,Cantina Double Steak Quesadilla,438,960,43,45.0,97,2070,400,19.0,1.0,115,9,10,26,Snacks & Sides
61,Cheese Quesadilla,139,470,19,26.0,39,990,240,11.0,0.5,50,4,3,13,Snacks & Sides
62,Cheese Roll-Up,57,180,9,9.0,16,430,80,5.0,0.0,20,2,1,5,Snacks & Sides
63,Chicken Quesadilla,181,510,27,28.0,39,1190,250,12.0,0.5,75,4,3,14,Snacks & Sides
64,Chili Cheese Burrito,153,370,16,17.0,40,910,150,8.0,0.5,35,5,2,10,Beef & Pork
65,Crunchwrap Supreme®,245,530,16,20.0,70,1090,180,6.0,0.0,25,7,6,14,Beef & Pork
66,Express Taco Salad w/ Chips,398,580,23,29.0,57,1370,260,10.0,1.0,55,9,6,16,Salads
67,Loaded Potato Griller,177,470,13,22.0,55,1120,200,6.0,0.0,25,4,5,13,Snacks & Sides
68,MexiMelt®,120,260,14,14.0,19,730,120,7.0,0.5,40,4,2,7,Beef & Pork
69,Mexican Pizza,213,550,21,31.0,48,950,280,8.0,0.5,40,7,3,15,Snacks & Sides
70,Smothered Burrito – Beef,387,710,28,35.0,70,2260,320,13.0,1.0,75,10,4,19,Beef & Pork
71,Smothered Burrito – Shredded Chicken,387,650,34,28.0,67,2230,250,10.0,0.0,70,8,4,18,Chicken & Fish
72,Smothered Burrito – Steak,387,670,35,29.0,68,2080,260,11.0,0.5,80,7,4,18,Beef & Pork
73,Spicy Buffalo Chicken Griller,149,350,15,15.0,40,810,140,4.5,0.0,40,3,4,10,Chicken & Fish
