,Item Name,Serving Size (G),Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
56,Bacon A.M. Griller,78,240,12,14.0,16,590,130,5.0,0.0,105,1,1,6,Breakfast
57,Cinnabon Delights – 4 Pack,57,260,3,15.0,28,130,130,3.5,0.0,10,1,16,7,Breakfast
58,Eggs,28,60,3,4.5,1,95,40,1.0,0.0,85,0,0,2,Breakfast
59,Hash Brown,54,160,1,11.0,14,250,100,1.0,0.0,0,1,0,4,Breakfast
60,Orange Juice,296,140,2,0.0,33,20,0,0.0,0.0,0,0,28,4,Breakfast
61,Sausage & Egg Burrito,153,430,17,24.0,37,860,220,8.0,0.0,190,3,2,12,Breakfast
62,Sausage A.M. Griller,78,230,9,14.0,16,450,130,5.0,0.0,100,1,1,6,Breakfast
63,Steak & Egg Burrito,153,380,19,17.0,37,790,160,5.0,0.0,115,3,3,10,Breakfast
64,MTN DEW A.M. 16 oz,350,160,1,0.0,42,45,0,0.0,0.0,0,0,40,5,Breakfast
65,MTN DEW A.M. 20 oz,396,180,1,0.0,47,50,0,0.0,0.0,0,0,46,5,Breakfast
66,7-Layer Burrito,232,440,15,17.0,58,1020,150,6.0,0.0,20,7,4,12,Burritos
67,Bacon & Egg Burrito,153,440,20,24.0,37,990,210,8.0,0.0,195,3,3,12,Burritos
68,Bean Burrito,190,380,15,11.0,56,1050,100,4.0,0.0,5,9,3,11,Burritos
69,Beefy 5-Layer Burrito,230,520,19,21.0,65,1280,190,8.0,0.0,30,8,5,14,Burritos
70,Black Bean Burrito,204,400,14,12.0,58,1000,110,4.5,0.0,15,8,3,11,Burritos
71,Burrito Supreme® – Chicken,240,390,20,12.0,51,1080,110,5.0,0.0,40,6,4,11,Burritos
72,Burrito Supreme® – Steak,240,400,20,13.0,51,1050,120,5.0,0.0,35,7,5,11,Burritos
73,Burrito Supreme® – Beef,240,420,17,16.0,52,1140,140,7.0,0.0,30,8,5,12,Burritos
74,Cantina Burrito – Chicken,447,740,32,27.0,94,1920,240,6.0,0.0,60,12,7,20,Burritos
75,Cantina Burrito – Steak,447,760,33,28.0,95,1870,250,7.0,0.0,50,13,8,21,Burritos
76,Cantina Burrito – Veggie,424,720,20,25.0,104,1710,230,5.0,0.0,10,17,8,20,Burritos
77,Cheesy Potato Burrito,237,520,18,25.0,57,1340,220,8.0,0.5,45,7,4,14,Burritos
78,Chicken Burrito,169,410,16,18.0,46,960,160,4.5,0.0,30,3,3,11,Burritos
79,Chili Cheese Burrito,153,370,16,17.0,40,910,150,8.0,0.5,35,5,2,10,Burritos
80,Combo Burrito,232,460,21,19.0,52,1380,170,7.0,0.5,40,9,3,13,Burritos
81,Sausage & Egg Burrito,153,430,17,24.0,37,860,220,8.0,0.0,190,3,2,12,Burritos
82,Smothered Burrito – Beef,387,710,28,35.0,70,2260,320,13.0,1.0,75,10,4,19,Burritos
83,Smothered Burrito – Shredded Chicken,387,650,34,28.0,67,2230,250,10.0,0.0,70,8,4,18,Burritos
84,Smothered Burrito – Steak,387,670,35,29.0,68,2080,260,11.0,0.5,80,7,4,18,Burritos
85,Steak & Egg Burrito,153,380,19,17.0,37,790,160,5.0,0.0,115,3,3,10,Burritos
86,Volcano Burrito,298,780,23,41.0,79,1650,370,12.0,1.0,65,9,6,21,Burritos
87,XXL Grilled Stuft Burrito – Beef,434,880,32,42.0,93,2200,380,14.0,1.0,70,13,7,24,Burritos
88,XXL Grilled Stuft Burrito – Chicken,434,830,38,35.0,90,2080,310,11.0,0.0,85,10,7,23,Burritos
89,XXL Grilled Stuft Burrito – Steak,434,840,39,36.0,91,2030,320,12.0,0.5,75,10,7,23,Burritos
90,Cantina Bowl – Chicken,415,530,26,21.0,59,1450,190,3.5,0.0,60,9,4,14,Cantina Bell
91,Cantina Bowl – Steak,415,550,26,23.0,60,1390,200,4.0,0.0,50,9,4,15,Cantina Bell
92,Cantina Bowl – Veggie,393,510,14,20.0,69,1240,180,3.0,0.0,10,14,4,14,Cantina Bell
93,Cantina Burrito – Chicken,447,740,32,27.0,94,1920,240,6.0,0.0,60,12,7,20,Cantina Bell
