"";"Product_Name";"Food_Category";"Calories";"Total_Fat.g";"Sodium.mg";"Total_Carbs.g";"Sugars.g";"Protein.g";"Calories_FGC";"Fat_FGC";"Sodium_FGC";"Carboidrati_FGC";"Zucchero_FGC";"Proteine_FGC"
"NA.45";"BK VEGGIE® Burger ";"Chicken & Fish";35;16;4;44;8;22;1,5;25,8;0,3;19,6;21,3;39,3
"NA.46";"BK VEGGIE® Burger w/ Cheese";"Chicken & Fish";39;20;12;44;8;24;1,6;32,3;0,8;19,6;21,3;42,9
"NA.47";"BK VEGGIE® Burger w/o Mayo";"Chicken & Fish";26;7;106;43;8;22;1,1;11,3;7,1;19,1;21,3;39,3
"NA.48";"Apple Slices";"Chicken & Fish";18;0;1;6;5;0;0,8;0;0,1;2,7;13,3;0
"NA.49";"Onion Rings – value";"Snacks & Sides";8;8;66;19;2;1;0,3;12,9;4,4;8,4;5,3;1,8
"NA.50";"Onion Rings – small";"Snacks & Sides";26;16;98;41;4;3;1,1;25,8;6,5;18,2;10,7;5,4
"NA.51";"Onion Rings – medium";"Snacks & Sides";35;21;6;53;5;4;1,5;33,9;0,4;23,6;13,3;7,1
"NA.52";"Onion Rings – large";"Snacks & Sides";44;25;16;64;7;5;1,8;40,3;1,1;28,4;18,7;8,9
"NA.53";"French Fries – value (Salted)";"Snacks & Sides";17;10;60;34;0;2;0,7;16,1;4;15,1;0;3,6
"NA.54";"French Fries – small (Salted)";"Snacks & Sides";28;15;72;49;0;4;1,2;24,2;4,8;21,8;0;7,1
"NA.55";"French Fries – medium (Salted)";"Snacks & Sides";35;18;81;58;0;4;1,5;29;5,4;25,8;0;7,1
"NA.56";"French Fries – large (Salted)";"Snacks & Sides";44;22;88;72;0;5;1,8;35,5;5,9;32;0;8,9
"NA.57";"Mozzarella Sticks (4 pc)";"Snacks & Sides";22;15;85;24;2;11;0,9;24,2;5,7;10,7;5,3;19,6
"NA.58";"Chicken Caesar Garden Fresh Salad with TENDERGRILL and dressing";"Salads";47;32;29;26;6;35;2;51,6;1,9;11,6;16;62,5
"NA.59";"Chicken Caesar Garden Fresh Salad with TENDERCRISP and dressing";"Salads";59;43;34;40;8;34;2,5;69,4;2,3;17,8;21,3;60,7
"NA.60";"Side Caesar Salad and dressing";"Salads";15;20;79;7;3;6;0,6;32,3;5,3;3,1;8;10,7
"NA.61";"Chicken BLT Garden Fresh Salad with TENDERGRILL and dressing";"Salads";49;37;29;17;5;36;2;59,7;1,9;7,6;13,3;64,3
"NA.62";"Chicken BLT Garden Fresh Salad with TENDERCRISP and dressing";"Salads";60;48;33;31;8;35;2,5;77,4;2,2;13,8;21,3;62,5
"NA.63";"Chicken Apple & Cranberry Garden Fresh Salad with TENDERGRILL and dressing";"Salads";50;30;107;40;34;29;2,1;48,4;7,1;17,8;90,7;51,8
"NA.64";"Chicken Apple & Cranberry Garden Fresh Salad with TENDERCRISP and dressing";"Salads";61;41;7;54;37;28;2,5;66,1;0,5;24;98,7;50
"NA.65";"Side Garden Salad and Avocado Ranch Dressing";"Salads";16;21;77;7;3;5;0,7;33,9;5,1;3,1;8;8,9
"NA.66";"Ranch Crispy Chicken Wrap";"Salads";31;23;2;29;1;14;1,3;37,1;0,1;12,9;2,7;25
"NA.67";"Ranch Grilled Chicken Wrap";"Salads";29;18;3;24;1;19;1,2;29;0,2;10,7;2,7;33,9
"NA.68";"Honey Mustard Crispy Chicken Wrap";"Salads";33;23;102;34;6;14;1,4;37,1;6,8;15,1;16;25
"NA.69";"Honey Mustard Grilled Chicken Wrap";"Salads";31;19;105;29;6;19;1,3;30,6;7;12,9;16;33,9
"NA.70";"Chicken BLT Garden Fresh Salad Wrap- grilled";"Salads";36;22;15;36;3;22;1,5;35,5;1;16;8;39,3
"NA.71";"Chicken BLT Garden Fresh Salad Wrap- crispy";"Salads";43;27;17;43;4;22;1,8;43,5;1,1;19,1;10,7;39,3
"NA.72";"Chicken Apple and Cranberry Garden Fresh Salad Wrap- grilled";"Salads";37;18;107;47;17;19;1,5;29;7,1;20,9;45,3;33,9
"NA.73";"Chicken Apple and Cranberry Garden Fresh Salad Wrap- crispy";"Salads";44;24;4;54;19;18;1,8;38,7;0,3;24;50,7;32,1
"NA.74";"Chicken Caesar Garden Fresh Salad Wrap- grilled";"Salads";32;18;9;37;3;21;1,3;29;0,6;16,4;8;37,5
"NA.75";"Chicken Caesar Garden Fresh Salad Wrap- crispy";"Salads";40;23;13;44;4;21;1,7;37,1;0,9;19,6;10,7;37,5
"NA.76";"Ken’s Citrus Caesar Dressing- packet";"Salads";11;18;71;4;2;2;0,5;29;4,7;1,8;5,3;3,6
"NA.77";"Ken’s Honey Mustard Dressing- packet";"Salads";15;18;54;13;12;1;0,6;29;3,6;5,8;32;1,8
"NA.78";"Ken’s Lite Honey Balsamic- packet";"Salads";6;7;49;14;11;0;0,2;11,3;3,3;6,2;29,3;0
"NA.79";"Ken’s Avocado Ranch Dressing- packet";"Salads";10;17;68;4;3;1;0,4;27,4;4,5;1,8;8;1,8
"NA.80";"Ken’s Apple Cider Vinaigrette- packet";"Salads";14;18;39;10;7;0;0,6;29;2,6;4,4;18,7;0
"NA.81";"Home-style Caesar Croutons- Packet";"Salads";53;2;43;9;1;2;2,2;3,2;2,9;4;2,7;3,6
"NA.82";"Quaker® Oatmeal Maple and Brown Sugar Flavor*";"Breakfast";21;4;56;55;29;5;0,9;6,5;3,7;24,4;77,3;8,9
"NA.83";"Quaker® Oatmeal Original";"Breakfast";7;4;38;23;1;5;0,3;6,5;2,5;10,2;2,7;8,9
"NA.84";"Kids Oatmeal";"Breakfast";10;4;53;32;9;4;0,4;6,5;3,5;14,2;24;7,1
"NA.85";"Sausage Breakfast Burrito";"Breakfast";23;17;97;21;2;14;1;27,4;6,5;9,3;5,3;25
"NA.86";"Southwestern Breakfast Burrito";"Breakfast";51;35;32;42;3;23;2,1;56,5;2,1;18,7;8;41,1
"NA.87";"BK®Breakfast Muffin Sandwich Egg and Cheese";"Breakfast";15;9;85;22;2;12;0,6;14,5;5,7;9,8;5,3;21,4
"NA.88";"BK®Breakfast Muffin Sandwich Sausage and Cheese";"Breakfast";27;20;92;23;1;14;1,1;32,3;6,1;10,2;2,7;25
"NA.89";"BK®Breakfast Muffin Sandwich Sausage; egg and Cheese";"Breakfast";33;23;106;23;2;20;1,4;37,1;7,1;10,2;5,3;35,7
