,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
77,Calories,760,Cantina Burrito – Steak,Beef & Pork,TacoBell
78, Protein (g),33,Cantina Burrito – Steak,Beef & Pork,TacoBell
79, Total Fat (g),28.0,Cantina Burrito – Steak,Beef & Pork,TacoBell
80,Total Carbs (g),95,Cantina Burrito – Steak,Beef & Pork,TacoBell
81,Sodium (mg),1870,Cantina Burrito – Steak,Beef & Pork,TacoBell
82,Calories from Fat,250,Cantina Burrito – Steak,Beef & Pork,TacoBell
83,Saturated Fat (g),7.0,Cantina Burrito – Steak,Beef & Pork,TacoBell
84,Trans Fat (g),0.0,Cantina Burrito – Steak,Beef & Pork,TacoBell
85,Cholesterol (mg),50,Cantina Burrito – Steak,Beef & Pork,TacoBell
86,Fiber (g),13,Cantina Burrito – Steak,Beef & Pork,TacoBell
87,Sugars (g),8,Cantina Burrito – Steak,Beef & Pork,TacoBell
88,Calories,520,Cheesy Potato Burrito,Beef & Pork,TacoBell
89, Protein (g),18,Cheesy Potato Burrito,Beef & Pork,TacoBell
90, Total Fat (g),25.0,Cheesy Potato Burrito,Beef & Pork,TacoBell
91,Total Carbs (g),57,Cheesy Potato Burrito,Beef & Pork,TacoBell
92,Sodium (mg),1340,Cheesy Potato Burrito,Beef & Pork,TacoBell
93,Calories from Fat,220,Cheesy Potato Burrito,Beef & Pork,TacoBell
94,Saturated Fat (g),8.0,Cheesy Potato Burrito,Beef & Pork,TacoBell
95,Trans Fat (g),0.5,Cheesy Potato Burrito,Beef & Pork,TacoBell
96,Cholesterol (mg),45,Cheesy Potato Burrito,Beef & Pork,TacoBell
97,Fiber (g),7,Cheesy Potato Burrito,Beef & Pork,TacoBell
98,Sugars (g),4,Cheesy Potato Burrito,Beef & Pork,TacoBell
99,Calories,410,Chicken Burrito,Chicken & Fish,TacoBell
100, Protein (g),16,Chicken Burrito,Chicken & Fish,TacoBell
101, Total Fat (g),18.0,Chicken Burrito,Chicken & Fish,TacoBell
102,Total Carbs (g),46,Chicken Burrito,Chicken & Fish,TacoBell
103,Sodium (mg),960,Chicken Burrito,Chicken & Fish,TacoBell
104,Calories from Fat,160,Chicken Burrito,Chicken & Fish,TacoBell
105,Saturated Fat (g),4.5,Chicken Burrito,Chicken & Fish,TacoBell
106,Trans Fat (g),0.0,Chicken Burrito,Chicken & Fish,TacoBell
107,Cholesterol (mg),30,Chicken Burrito,Chicken & Fish,TacoBell
108,Fiber (g),3,Chicken Burrito,Chicken & Fish,TacoBell
109,Sugars (g),3,Chicken Burrito,Chicken & Fish,TacoBell
110,Calories,370,Chili Cheese Burrito,Beef & Pork,TacoBell
111, Protein (g),16,Chili Cheese Burrito,Beef & Pork,TacoBell
112, Total Fat (g),17.0,Chili Cheese Burrito,Beef & Pork,TacoBell
113,Total Carbs (g),40,Chili Cheese Burrito,Beef & Pork,TacoBell
114,Sodium (mg),910,Chili Cheese Burrito,Beef & Pork,TacoBell
115,Calories from Fat,150,Chili Cheese Burrito,Beef & Pork,TacoBell
116,Saturated Fat (g),8.0,Chili Cheese Burrito,Beef & Pork,TacoBell
117,Trans Fat (g),0.5,Chili Cheese Burrito,Beef & Pork,TacoBell
118,Cholesterol (mg),35,Chili Cheese Burrito,Beef & Pork,TacoBell
119,Fiber (g),5,Chili Cheese Burrito,Beef & Pork,TacoBell
120,Sugars (g),2,Chili Cheese Burrito,Beef & Pork,TacoBell
121,Calories,460,Combo Burrito,Beef & Pork,TacoBell
122, Protein (g),21,Combo Burrito,Beef & Pork,TacoBell
123, Total Fat (g),19.0,Combo Burrito,Beef & Pork,TacoBell
124,Total Carbs (g),52,Combo Burrito,Beef & Pork,TacoBell
125,Sodium (mg),1380,Combo Burrito,Beef & Pork,TacoBell
126,Calories from Fat,170,Combo Burrito,Beef & Pork,TacoBell
127,Saturated Fat (g),7.0,Combo Burrito,Beef & Pork,TacoBell
128,Trans Fat (g),0.5,Combo Burrito,Beef & Pork,TacoBell
129,Cholesterol (mg),40,Combo Burrito,Beef & Pork,TacoBell
130,Fiber (g),9,Combo Burrito,Beef & Pork,TacoBell
131,Sugars (g),3,Combo Burrito,Beef & Pork,TacoBell
132,Calories,430,Sausage & Egg Burrito,Beef & Pork,TacoBell
133, Protein (g),17,Sausage & Egg Burrito,Beef & Pork,TacoBell
134, Total Fat (g),24.0,Sausage & Egg Burrito,Beef & Pork,TacoBell
135,Total Carbs (g),37,Sausage & Egg Burrito,Beef & Pork,TacoBell
136,Sodium (mg),860,Sausage & Egg Burrito,Beef & Pork,TacoBell
137,Calories from Fat,220,Sausage & Egg Burrito,Beef & Pork,TacoBell
138,Saturated Fat (g),8.0,Sausage & Egg Burrito,Beef & Pork,TacoBell
139,Trans Fat (g),0.0,Sausage & Egg Burrito,Beef & Pork,TacoBell
140,Cholesterol (mg),190,Sausage & Egg Burrito,Beef & Pork,TacoBell
141,Fiber (g),3,Sausage & Egg Burrito,Beef & Pork,TacoBell
142,Sugars (g),2,Sausage & Egg Burrito,Beef & Pork,TacoBell
143,Calories,710,Smothered Burrito – Beef,Beef & Pork,TacoBell
144, Protein (g),28,Smothered Burrito – Beef,Beef & Pork,TacoBell
145, Total Fat (g),35.0,Smothered Burrito – Beef,Beef & Pork,TacoBell
146,Total Carbs (g),70,Smothered Burrito – Beef,Beef & Pork,TacoBell
147,Sodium (mg),2260,Smothered Burrito – Beef,Beef & Pork,TacoBell
